Year,Season,Issued,Mail_Reported,Online_Reported,Total_Reported,Unreported,Endorsements
2007,Summer,210327,34400,32373,66773,143554,226063
2008,Summer,210893,26037,43919,69956,140937,215643
2009,Summer,236665,37128,72172,109300,127365,241226
2010,Summer,208462,29406,77472,106878,101584,213013
2011,Summer,230355,31222,89095,120317,110038,237129
2012,Summer,200711,26504,79895,106399,94312,209957
2013,Summer,214692,26236,90379,116615,98077,222050
2014,Summer,213741,25296,91270,116566,97175,223184
2015,Summer,232621,25685,94336,120021,112600,243934
2016,Summer,216977,23734,90262,113996,102981,223443
2017,Summer,215929,33252,72601,105853,110076,222222
2018,Summer,200962,31316,72790,104106,96856,207557
2019,Summer,192798,29006,69087,98093,94705,200113
2020,Summer,213831,23716,53029,76745,137086,222181
2021,Summer,225282,27534,75254,102788,122494,233108
2022,Summer,210725,20545,68164,88709,122016,221150
2023,Summer,185455,22847,59100,81947,103508,NA
